category,urgency,ticket_text
Network,Low,My WiFi has been a bit slow today but I can still get my work done.
Network,Low,"The internet in the break room seems weaker than usual, just a heads up."
Network,Low,"I noticed my laptop drops WiFi for a second every once in a while, not a big deal."
Network,Low,Pages load a little slower than normal on the guest network.
Network,Low,"Our office WiFi name isn't showing up sometimes, but it reconnects on its own."
Network,Low,"I'm seeing occasional lag on video calls, nothing that's stopping me from working though."
Network,Low,The shared drive takes a few extra seconds to load files this week.
Network,Low,"Not urgent, but I wanted to flag that my connection speed feels lower than usual."
Network,Low,Sometimes my VPN icon shows a weak signal even though I'm still connected fine.
Network,Low,The wireless printer on our floor occasionally loses connection for a minute or two.
Network,Low,"My home VPN connection has a slight delay when opening internal tools, but it's usable."
Network,Low,"I get a brief connection hiccup around the same time every afternoon, likely not urgent."
Network,Low,Just noting that our conference room WiFi is a little spotty near the back wall.
Network,Low,"Streaming a training video buffered a couple times today, otherwise no issues."
Network,Low,My laptop occasionally shows 'limited connectivity' for a few seconds before reconnecting.
Network,Low,"The office network feels a touch slower after lunch, but everything still loads."
Network,Low,I wanted to mention that file uploads to the shared server take a little longer than before.
Network,Low,"Nothing broken, just curious if others are seeing slightly slower internet speeds today."
Network,Low,"My desk's ethernet connection sometimes blinks out for a second when I move my chair, probably a loose cable."
Network,Low,The guest WiFi password screen pops up occasionally even though I'm already connected.
Network,Low,"The WiFi signal in the stairwell is a little weak, but nowhere I usually work."
Network,Low,"My home internet had a brief blip this morning, resolved itself within a minute."
Network,Low,"The office network map on the intranet looks slightly outdated, not a functional issue."
Network,Low,"I get an occasional 'reconnecting' notification on Teams, calls aren't actually affected."
Network,Low,Just noting our floor's guest network sometimes shows one bar less than expected.
Network,Low,A file sync notification lingers a little longer than it used to before completing.
Network,Low,"My laptop occasionally toggles between two WiFi access points, connection stays fine either way."
Network,Low,The network status light on my desk switch blinks a bit more than usual.
Network,Low,"I noticed slightly higher ping on our project tracker, page still loads normally."
Network,Low,"The office network diagram in the wiki hasn't been updated in a while, minor documentation note."
Network,Medium,My VPN disconnects every 20-30 minutes and I have to keep logging back in to reach the shared drive.
Network,Medium,I can't reliably join Teams calls without the video freezing every few minutes.
Network,Medium,Our team's shared network folder keeps timing out when more than a couple of us open it at once.
Network,Medium,"The office WiFi drops entirely for about a minute every hour, disrupting my work."
Network,Medium,"I'm unable to connect to the VPN from home this morning, tried restarting twice already."
Network,Medium,Remote desktop into my work computer keeps freezing and disconnecting every 15 minutes or so.
Network,Medium,Our department's printer keeps losing its network connection and I have to reconnect it manually each time.
Network,Medium,"The internet has been unstable all morning, making it hard to get through client calls without dropping."
Network,Medium,"I can't access the internal ticketing system from my desk, though it works fine on my phone's hotspot."
Network,Medium,My laptop keeps switching between WiFi networks and losing connection mid-task.
Network,Medium,"Video calls with our overseas team keep cutting out, we've had to reschedule twice this week."
Network,Medium,The shared drive mapping keeps disappearing and I have to remap it every morning.
Network,Medium,"I'm getting DNS errors trying to reach a couple of our internal tools, though external sites work fine."
Network,Medium,Our floor's network has been noticeably slower since the move to the new office space.
Network,Medium,"I can't upload large files to the server, the connection times out around the 80% mark every time."
Network,Medium,The VPN client keeps giving me a timeout error when I try to connect after 5pm.
Network,Medium,Two of us on the team are having the same issue reaching the client portal over VPN.
Network,Medium,"My remote connection to the office server drops whenever I switch WiFi networks, even briefly."
Network,Medium,"The network printer on the 3rd floor has been offline off and on all day, causing delays."
Network,Medium,"I keep getting kicked off our internal chat tool every 10 minutes, need to log back in constantly."
Network,Medium,Screen sharing on Zoom keeps freezing every 10 minutes during client calls this week.
Network,Medium,My connection to the shared drive drops whenever the office WiFi switches access points.
Network,Medium,"The internal chat app disconnects randomly, forcing me to refresh several times a day."
Network,Medium,"I can't hold a stable connection to the design server, it drops every 20 minutes or so."
Network,Medium,Our team's remote access to the file server has been spotty since yesterday afternoon.
Network,Medium,The WiFi in the east wing meeting rooms keeps cutting out mid-presentation.
Network,Medium,I keep losing connection to the VPN whenever I move between floors with my laptop.
Network,Medium,"Our shared calendar sync fails intermittently, causing missed meeting reminders."
Network,Medium,"The network printer queue keeps stalling, delaying print jobs by 10-15 minutes each time."
Network,Medium,My connection to the internal dashboard times out every time I leave it open over 30 minutes.
Network,High,Our entire floor lost internet access about 20 minutes ago and nobody can get online.
Network,High,"The VPN is completely down for our whole remote team, we can't access any client files."
Network,High,"I can't reach any internal systems at all, this is blocking a client deadline today."
Network,High,Our main office network went down and the whole sales team is unable to work.
Network,High,"None of us on this call can join our biggest client's meeting, the network keeps cutting everyone."
Network,High,"The server hosting our production database is unreachable, this is affecting all customer-facing systems."
Network,High,"Our building lost all network connectivity after the storm, nobody can log in remotely or in-office."
Network,High,"This is urgent, the entire finance team lost access to the shared drive right before the reporting deadline."
Network,High,"We have a full outage on our network, multiple departments have reported the same issue in the last 10 minutes."
Network,High,"I need this fixed immediately, our support team can't access the ticketing system and customers are waiting."
Network,High,"The VPN gateway appears to be completely down, nobody in our remote office can connect."
Network,High,Our data center connection dropped and we're unable to process any transactions right now.
Network,High,"This is a critical outage, the whole call center lost network access mid-shift."
Network,High,"Every computer on the 2nd floor lost internet at the same time, this needs immediate attention."
Network,High,We're in the middle of a live client demo and our network just went completely down.
Network,High,"The entire warehouse network is offline, shipments can't be processed until this is fixed."
Network,High,"Our failover network also went down, we have zero connectivity right now across the building."
Network,High,"This is affecting our entire customer support queue, nobody can log calls or access records."
Network,High,"I need urgent help, our whole department lost VPN access right before a major client deliverable is due."
Network,High,"The network outage has taken down our phone system too, we can't take any incoming calls."
Network,High,The whole building's internet just went out during our quarterly all-hands meeting.
Network,High,"Our disaster recovery site also lost connectivity, we have no backup network path right now."
Network,High,The main switch for our floor failed and nobody can reach the internet or internal tools.
Network,High,Client-facing services are completely unreachable due to a network outage on our end.
Network,High,Our data pipeline stopped completely because the network link to the warehouse system is down.
Network,High,The entire remote team is locked out of the VPN during a critical release window.
Network,High,"Our support hotline's network dependency is down, agents can't pull up any customer records."
Network,High,"The core router for our data center just failed, all services are currently unreachable."
Network,High,Every store location lost connection to the central inventory system at the same time.
Network,High,"This outage is company-wide, nobody in any office can reach internal systems right now."
Software,Low,"Excel takes a couple extra seconds to open large spreadsheets, not a big issue."
Software,Low,I noticed a small formatting glitch in Word when I paste from another document.
Software,Low,"The new update changed the button placement in our CRM, just getting used to it."
Software,Low,"Outlook occasionally shows a stale unread count, but refreshing fixes it."
Software,Low,"My browser's spellcheck stopped working, just a minor annoyance."
Software,Low,The dashboard sometimes shows yesterday's numbers for a minute before updating.
Software,Low,"Slack notifications are a little delayed sometimes, nothing major."
Software,Low,A tooltip in our internal tool is cut off on smaller screens.
Software,Low,PowerPoint's autosave notification pops up more frequently than before.
Software,Low,"The export button label is a bit confusing after the recent update, just a suggestion."
Software,Low,"My calendar app takes a moment to sync new invites, but they show up eventually."
Software,Low,There's a minor visual glitch in the reporting tool's sidebar menu.
Software,Low,"Autocorrect in our chat app is a little aggressive, would be nice to adjust it someday."
Software,Low,The search bar in our project tool sometimes returns results slightly out of order.
Software,Low,"I get a small popup reminding me to update the app, even though I just updated it."
Software,Low,Formatting looks slightly different when I open the same file on my laptop vs desktop.
Software,Low,"The app's dark mode has a couple of low-contrast text spots, nothing blocking."
Software,Low,"One of my browser extensions shows an outdated icon, not affecting functionality."
Software,Low,The notification sound in Teams is quieter than before the last update.
Software,Low,I noticed the app version number displayed is out of date on the About page.
Software,Low,"The app icon still shows the old logo after the rebrand, purely cosmetic."
Software,Low,"My browser bookmarks bar occasionally reorders itself, not a big deal."
Software,Low,The help documentation link in our tool points to an outdated page.
Software,Low,I noticed the loading spinner is a bit inconsistent in style between two screens of the same app.
Software,Low,The keyboard shortcuts guide in our software hasn't been updated for the newest feature.
Software,Low,A minor typo showed up in one of the automated email templates.
Software,Low,The app's light mode has a slightly low-contrast button on one settings page.
Software,Low,My recent files list in the design tool takes a moment to refresh after saving.
Software,Low,"The mobile app's badge count is occasionally off by one, resolves after reopening."
Software,Low,"I noticed the changelog popup shows up every time I open the app, a little repetitive."
Software,Medium,"Our CRM keeps logging me out every 30 minutes, making it hard to get through client calls."
Software,Medium,"Excel crashes whenever I try to open one specific large file, I've lost work twice now."
Software,Medium,The invoicing software freezes for about a minute every time I try to generate a PDF.
Software,Medium,"I can't get the new software update to install, it fails partway through every time."
Software,Medium,"Outlook isn't syncing new emails properly, I'm missing messages that come in after 2pm."
Software,Medium,The project management tool keeps duplicating tasks whenever multiple people edit at once.
Software,Medium,My license for the design software expired and I can't renew it through the usual portal.
Software,Medium,The reporting tool errors out whenever I try to filter by more than two categories.
Software,Medium,"Zoom keeps crashing mid-meeting on my laptop, happened three times this week."
Software,Medium,"I can't save changes in the shared document, it just spins and eventually times out."
Software,Medium,The timesheet app rejects my hours every Friday with an unclear error message.
Software,Medium,"Our accounting software is showing mismatched totals since the last update, need this checked."
Software,Medium,The mobile app version of our CRM keeps crashing when I try to log a new lead.
Software,Medium,"I'm unable to export data from the analytics dashboard, it just shows a loading spinner forever."
Software,Medium,"The new software rollout broke our custom templates, we've had to recreate them manually."
Software,Medium,My email client keeps flagging legitimate internal emails as spam since yesterday's update.
Software,Medium,"The scheduling tool double-books rooms sometimes, this has caused a couple of meeting conflicts."
Software,Medium,I can't get the print-to-PDF function working in our document system anymore.
Software,Medium,"The chat app keeps signing me out of certain channels, I have to keep rejoining."
Software,Medium,Our inventory software miscounts stock whenever two people update the same item simultaneously.
Software,Medium,The scheduling tool keeps sending duplicate reminder emails to clients for the same appointment.
Software,Medium,"My spreadsheet macro stopped working after the last software update, breaking a report I run weekly."
Software,Medium,"The team chat app is dropping some messages entirely, we've missed a couple of important updates."
Software,Medium,"Our CRM's search function returns incomplete results since yesterday, making lead lookup unreliable."
Software,Medium,The expense reporting tool rejects valid receipts with a vague formatting error.
Software,Medium,I can't merge two customer records in the CRM without it throwing a sync error.
Software,Medium,"The dashboard filters reset unexpectedly every time I switch tabs, losing my saved view."
Software,Medium,"Our onboarding software skips a required step for about half of new hires, causing gaps."
Software,Medium,The e-signature tool fails to send documents to external clients about 1 in 5 times.
Software,Medium,My team's shared document keeps reverting to an older version after multiple people edit it.
Software,High,Our entire billing system is down and we can't process any customer payments right now.
Software,High,"The CRM is completely inaccessible for the whole sales team, we're missing calls because of it."
Software,High,Our production application crashed and none of our customers can log in.
Software,High,"The database migration script failed halfway through, we might be at risk of data loss."
Software,High,"This is urgent, our payroll software is throwing errors and paychecks are due to process tonight."
Software,High,"The entire support ticketing platform is down, customers can't submit or view their tickets."
Software,High,"Our e-commerce checkout page is throwing errors for every customer, we're losing sales right now."
Software,High,A critical bug in last night's release is causing incorrect charges on customer accounts.
Software,High,The whole team's access to the client database has been broken since this morning's deployment.
Software,High,Our appointment booking system crashed and clients can't schedule anything today.
Software,High,"This software failure is blocking our end-of-quarter financial close, need immediate help."
Software,High,"The entire warehouse management system went down, we can't fulfill any orders."
Software,High,"Our authentication service is failing for all users, nobody across the company can log in."
Software,High,A critical error in the reporting system is showing incorrect data to executives ahead of the board meeting.
Software,High,The core application server crashed and it's affecting every customer-facing service we run.
Software,High,Our email marketing platform sent out an incomplete campaign to thousands of customers by mistake.
Software,High,"This bug is causing duplicate charges on customer credit cards, we need this fixed immediately."
Software,High,The entire HR system is inaccessible right before the benefits enrollment deadline today.
