ticket_text,category,urgency
I need access restored to the archived client files for an ongoing audit request.,Access,Medium
"The network printer on the 3rd floor has been offline off and on all day, causing delays.",Network,Medium
"This is urgent, our payroll software is throwing errors and paychecks are due to process tonight.",Software,High
"The badge access system for the whole building is down, employees can't get into the office.",Hardware,High
My connection to the shared drive drops whenever the office WiFi switches access points.,Network,Medium
Pages load a little slower than normal on the guest network.,Network,Low
"This bug is causing duplicate charges on customer credit cards, we need this fixed immediately.",Software,High
"Excel takes a couple extra seconds to open large spreadsheets, not a big issue.",Software,Low
"Zoom keeps crashing mid-meeting on my laptop, happened three times this week.",Software,Medium
"I get an occasional 'reconnecting' notification on Teams, calls aren't actually affected.",Network,Low
"My mouse pad is worn at the edges, not really an IT issue but wanted to flag it.",Hardware,Low
Our entire order processing system crashed and we can't fulfill any pending customer orders.,Software,High
Could I get added to the internal newsletter distribution list sometime this month?,Access,Low
"None of the on-call engineers can access the incident system during this active outage, this is critical.",Access,High
"The USB-C hub I was issued only charges intermittently, my laptop keeps dropping to low battery.",Hardware,Medium
"The office network map on the intranet looks slightly outdated, not a functional issue.",Network,Low
"The whole night shift got locked out of the building access system, nobody can get to their stations.",Access,High
The WiFi in the east wing meeting rooms keeps cutting out mid-presentation.,Network,Medium
"Video calls with our overseas team keep cutting out, we've had to reschedule twice this week.",Network,Medium
"None of us on this call can join our biggest client's meeting, the network keeps cutting everyone.",Network,High
The wireless keyboard in the training room keeps disconnecting mid-presentation.,Hardware,Medium
"Our data warehouse ETL job failed catastrophically overnight, all of today's reports are wrong or missing.",Software,High
"The laptop stand I was given is a bit small for my monitor, just a minor inconvenience.",Hardware,Low
I want to double check I have the right permissions for the new project folder.,Access,Low
"My monitor flickers every few minutes, making it hard to focus on my screen.",Hardware,Medium
The e-signature tool fails to send documents to external clients about 1 in 5 times.,Software,Medium
"My headset's microphone picks up a faint hum sometimes, not affecting call quality much.",Hardware,Low
The search bar in our project tool sometimes returns results slightly out of order.,Software,Low
"The office network feels a touch slower after lunch, but everything still loads.",Network,Low
"The phone system hardware for the entire call center is down, we can't take any customer calls.",Hardware,High
Could I get access to last quarter's slide deck archive when someone has a moment?,Access,Low
My connection to the internal dashboard times out every time I leave it open over 30 minutes.,Network,Medium
"I'm seeing occasional lag on video calls, nothing that's stopping me from working though.",Network,Low
The dashboard sometimes shows yesterday's numbers for a minute before updating.,Software,Low
"I can't get past the MFA prompt on my new phone, blocking me from several tools.",Access,Medium
"My remote connection to the office server drops whenever I switch WiFi networks, even briefly.",Network,Medium
"My mouse disconnects randomly throughout the day, disrupting my workflow.",Hardware,Medium
"I noticed I don't have edit access to one older document, not urgent though.",Access,Low
"I'd like to double check my access to the optional wellness portal, not urgent.",Access,Low
My admin access was removed and now nobody on the team can approve time-sensitive contracts today.,Access,High
"My job title in the directory doesn't reflect my recent promotion, minor update needed.",Access,Low
My laptop is completely unresponsive and I have a major deadline due in the next hour.,Hardware,High
I can't access any system needed to respond to a security incident that's happening right now.,Access,High
My keyboard's spacebar is sticking badly enough that it's slowing down my typing significantly.,Hardware,Medium
"The company-wide single sign-on software failed, nobody can access any internal tool right now.",Software,High
"The entire team's shared workstation crashed and won't restart, blocking all of us from our morning tasks.",Hardware,High
"Autocorrect in our chat app is a little aggressive, would be nice to adjust it someday.",Software,Low
"I can't upload large files to the server, the connection times out around the 80% mark every time.",Network,Medium
"Our accounting software is showing mismatched totals since the last update, need this checked.",Software,Medium
"My desk lamp's USB charging port is a bit loose, unrelated to my computer but figured I'd mention it.",Hardware,Low
Our main office network went down and the whole sales team is unable to work.,Network,High
Our floor's network has been noticeably slower since the move to the new office space.,Network,Medium
"This is affecting our entire customer support queue, nobody can log calls or access records.",Network,High
"The database migration script failed halfway through, we might be at risk of data loss.",Software,High
I can't access the client portal from my new laptop even after IT set up my profile.,Access,Medium
"I get a small popup reminding me to update the app, even though I just updated it.",Software,Low
"Could someone confirm my access level for the shared calendar, just want to verify.",Access,Low
"I'd like to be added to a Slack channel for my new team, not time-sensitive.",Access,Low
"My home VPN connection has a slight delay when opening internal tools, but it's usable.",Network,Low
"I'd like to request access to the marketing team's shared folder when convenient, no rush.",Access,Low
"My laptop screen went completely black and won't respond to anything, I can't access any of my files.",Hardware,High
"We have a full outage on our network, multiple departments have reported the same issue in the last 10 minutes.",Network,High
"Nothing broken, just curious if others are seeing slightly slower internet speeds today.",Network,Low
I can't access the shared drive for my new project even though my manager approved it two days ago.,Access,Medium
"One of my browser extensions shows an outdated icon, not affecting functionality.",Software,Low
"The chat app keeps signing me out of certain channels, I have to keep rejoining.",Software,Medium
Our entire floor lost internet access about 20 minutes ago and nobody can get online.,Network,High
Our team's shared label printer keeps printing blank pages every few labels.,Hardware,Medium
"My laptop's charging port seems loose, the charge indicator flickers unless the cable is held just right.",Hardware,Medium
"The VPN is completely down for our whole remote team, we can't access any client files.",Network,High
"I'm getting DNS errors trying to reach a couple of our internal tools, though external sites work fine.",Network,Medium
"My badge stopped working for the server room, and I need to get in for scheduled maintenance today.",Access,Medium
"I can't save changes in the shared document, it just spins and eventually times out.",Software,Medium
The server room's cooling unit failed overnight and the equipment is overheating badly.,Hardware,High
My laptop randomly disconnects from external monitors a few times a day.,Hardware,Medium
